reward,loss,trades,avg_q,total_actions,backs_per_competitor,lays_per_competitor,most_common_action,most_common_competitor,winner,simulation
-1.2307742220163345,183.5188446044922,18,38.51545333862305,33,"[0, 4, 2, 2, 7]","[6, 4, 3, 4, 1]",8,4,0,110
-0.36,98.354248046875,16,40.526920318603516,32,"[1, 3, 4, 4, 3]","[6, 4, 4, 0, 3]",1,0,4,111
-0.08405318707227707,130.06072998046875,20,46.12036895751953,36,"[4, 3, 3, 7, 2]","[2, 1, 3, 7, 4]",6,3,1,112
0.39932856857776644,104.4292984008789,27,54.08156204223633,40,"[2, 6, 3, 0, 8]","[5, 6, 2, 4, 4]",8,4,1,113
-0.66,162.9222869873047,27,58.014617919921875,38,"[5, 2, 3, 6, 7]","[3, 2, 1, 4, 5]",8,4,3,114
-0.9370510593056679,138.169677734375,14,52.65620040893555,36,"[2, 5, 4, 5, 5]","[2, 2, 5, 3, 3]",6,3,4,115
-0.6712450358271599,113.7197265625,21,43.3948860168457,39,"[2, 7, 1, 6, 6]","[2, 6, 4, 4, 1]",2,1,2,116
0.405,41.55306625366211,20,39.061729431152344,37,"[5, 3, 3, 6, 2]","[4, 1, 5, 3, 5]",6,3,2,117
-8.115,256.05255126953125,29,26.69765853881836,37,"[3, 3, 1, 5, 5]","[4, 3, 3, 3, 7]",9,4,0,118
0.68,694.0840454101562,21,36.392948150634766,34,"[5, 1, 1, 8, 2]","[3, 4, 4, 3, 3]",6,3,4,119
0.12,174.08450317382812,23,41.47893142700195,34,"[1, 2, 2, 7, 2]","[3, 6, 4, 4, 3]",6,3,0,120
-1.065,357.79547119140625,18,36.39091110229492,35,"[3, 7, 2, 3, 5]","[3, 3, 2, 3, 4]",2,1,2,121
0.2726926662027836,36.90389633178711,19,35.01625061035156,37,"[3, 4, 2, 3, 4]","[5, 4, 6, 2, 4]",5,2,4,122
1.3845272974669933,45.05228805541992,24,27.943889617919922,39,"[4, 2, 3, 3, 5]","[7, 5, 4, 3, 3]",1,0,3,123
2.475,303.271728515625,25,34.245811462402344,38,"[4, 5, 5, 2, 3]","[0, 4, 6, 5, 4]",5,2,0,124
-1.1040737211704255,70.5977783203125,10,35.91252899169922,35,"[3, 2, 7, 3, 2]","[4, 4, 2, 5, 3]",4,2,4,125
-1.08,34.13903045654297,16,38.4256591796875,33,"[2, 5, 4, 2, 2]","[2, 7, 6, 2, 1]",3,1,3,126
-0.5602072815597058,80.6800537109375,19,43.08137512207031,33,"[1, 2, 5, 2, 2]","[5, 2, 5, 3, 6]",9,4,2,127
-0.3663648703694344,130.9625244140625,18,32.052589416503906,32,"[2, 2, 3, 3, 7]","[5, 2, 2, 2, 4]",8,4,4,128
0.434681191444397,149.004150390625,20,41.87675857543945,36,"[2, 5, 2, 4, 2]","[4, 5, 5, 3, 4]",5,2,4,129
0.09,263.59173583984375,15,49.57752227783203,35,"[2, 3, 5, 1, 3]","[2, 4, 5, 10, 0]",7,3,2,130
0.01,395.1960754394531,20,58.8695182800293,34,"[2, 5, 3, 4, 3]","[10, 2, 1, 1, 3]",1,0,2,131
-0.615,208.54737854003906,15,47.481414794921875,33,"[5, 6, 2, 2, 3]","[3, 4, 4, 2, 2]",2,1,3,132
-0.6225,603.947998046875,21,56.073936462402344,36,"[3, 5, 6, 1, 5]","[3, 2, 4, 2, 5]",4,2,3,133
0.085,468.594970703125,24,49.871822357177734,38,"[3, 5, 2, 7, 3]","[5, 5, 2, 1, 5]",6,3,4,134
-0.652310853600502,130.73692321777344,21,42.004058837890625,33,"[2, 4, 4, 2, 3]","[3, 2, 5, 5, 3]",7,3,3,135
-0.16976308077573776,253.1387939453125,16,47.53527069091797,32,"[3, 4, 3, 3, 6]","[4, 3, 4, 1, 1]",8,4,4,136
0.44,62.58391571044922,21,42.31852722167969,32,"[3, 4, 5, 4, 2]","[1, 3, 3, 3, 4]",4,2,3,137
1.365,131.70045471191406,22,53.153663635253906,36,"[2, 2, 5, 3, 0]","[5, 1, 11, 0, 7]",5,2,3,138
-0.6423418751358986,167.647216796875,19,42.89240646362305,41,"[4, 1, 5, 5, 3]","[2, 5, 6, 4, 6]",9,4,2,139
0.42815584495663644,127.29483795166016,17,33.38103485107422,35,"[3, 1, 7, 2, 1]","[3, 3, 2, 7, 6]",4,2,3,140
-0.41058474108576776,194.2831573486328,25,29.66384506225586,38,"[3, 1, 8, 2, 4]","[5, 4, 5, 6, 0]",4,2,2,141
-0.42,145.1728057861328,23,35.184783935546875,35,"[3, 7, 1, 7, 3]","[1, 2, 7, 2, 2]",5,2,3,142
0.0861364671587944,164.26116943359375,13,43.24040603637695,36,"[4, 2, 5, 2, 9]","[1, 1, 5, 4, 3]",8,4,4,143
0.27,92.68020629882812,14,45.076377868652344,36,"[4, 1, 6, 3, 4]","[5, 1, 4, 5, 3]",4,2,4,144
-0.69,58.17350769042969,23,41.4902229309082,36,"[4, 7, 4, 3, 3]","[5, 1, 5, 2, 2]",2,1,2,145
-0.915,440.55816650390625,29,52.91856002807617,37,"[7, 2, 2, 3, 7]","[4, 1, 3, 3, 5]",0,0,4,146
-1.0681616652011872,94.69368743896484,24,46.573974609375,34,"[3, 3, 5, 5, 5]","[2, 1, 3, 5, 2]",8,4,3,147
0.54,62.906944274902344,20,44.57013702392578,37,"[2, 1, 3, 3, 4]","[6, 4, 5, 5, 4]",1,0,3,148
-0.345,89.4240493774414,19,44.181800842285156,33,"[3, 1, 5, 10, 3]","[2, 1, 4, 1, 3]",6,3,4,149
-0.09613771632313728,63.57642364501953,26,49.75187301635742,36,"[2, 1, 1, 6, 5]","[4, 3, 3, 9, 2]",7,3,3,150
0.3252898897230625,382.8802490234375,13,41.7090950012207,38,"[2, 1, 4, 4, 5]","[6, 4, 5, 2, 5]",1,0,4,151
-2.01,88.34840393066406,20,35.622337341308594,37,"[4, 2, 2, 5, 3]","[6, 4, 6, 4, 1]",5,2,3,152
-0.5175,65.61323547363281,21,28.870899200439453,39,"[5, 1, 5, 6, 7]","[0, 2, 6, 4, 3]",8,4,2,153
-1.2358288192749023,33.00428771972656,17,21.5837459564209,35,"[4, 2, 4, 4, 1]","[4, 4, 5, 3, 4]",5,2,4,154
0.45,30.390914916992188,19,27.267786026000977,35,"[4, 3, 10, 3, 3]","[4, 1, 1, 1, 5]",4,2,2,155
0.24,48.937957763671875,22,30.232452392578125,34,"[3, 2, 5, 3, 5]","[4, 2, 3, 1, 6]",9,4,0,156
-0.3822882014513016,787.4909057617188,19,41.79411315917969,40,"[4, 5, 3, 4, 7]","[2, 3, 5, 4, 3]",8,4,3,157
-0.63,76.05411529541016,16,32.75748825073242,30,"[2, 5, 0, 3, 4]","[4, 3, 2, 1, 6]",9,4,2,158
-0.095,26.382999420166016,22,36.536495208740234,36,"[3, 1, 3, 4, 9]","[5, 4, 2, 1, 4]",8,4,4,159
0.45,49.8328971862793,17,30.073162078857422,30,"[5, 2, 0, 3, 2]","[4, 3, 3, 3, 5]",9,4,2,160
0.2775,106.43480682373047,15,38.3492317199707,32,"[4, 6, 1, 2, 5]","[4, 4, 2, 2, 2]",2,1,3,161
-0.18,645.235595703125,21,45.785179138183594,38,"[3, 4, 5, 5, 5]","[3, 3, 7, 1, 2]",5,2,1,162
-0.48,118.75980377197266,19,42.59046936035156,31,"[4, 5, 0, 5, 2]","[1, 5, 0, 5, 4]",7,3,4,163
-0.765,70.16693115234375,14,39.539615631103516,36,"[5, 8, 4, 0, 4]","[3, 2, 2, 5, 3]",2,1,2,164
0.2725,41.3436164855957,22,33.43328094482422,37,"[10, 1, 7, 0, 4]","[4, 1, 4, 1, 5]",0,0,4,165
0.6165889765322209,1550.119873046875,18,46.98802947998047,35,"[4, 1, 6, 3, 6]","[2, 5, 5, 2, 1]",4,2,4,166
0.185,61.28684616088867,23,38.88890838623047,38,"[6, 2, 1, 3, 3]","[6, 5, 5, 3, 4]",0,0,2,167
-0.5499910271167755,70.66819763183594,20,34.03523635864258,40,"[5, 5, 2, 4, 2]","[2, 5, 6, 5, 4]",5,2,4,168
0.12,62.0420036315918,21,38.49177932739258,40,"[4, 2, 5, 1, 5]","[6, 6, 4, 4, 3]",3,1,3,169
